title,company,location,salary,min_salary,max_salary,salary_period,average_salary,yearly_avg_salary
Junior Python Developer,Mukesh & Associates,"Salem, Tamil Nadu","₹30,000 - ₹50,000 a month",30000.0,50000.0,month,40000.0,480000.0
Junior Python Developer,Kirikaa Digital Pvt. Ltd.,"Durgapur, West Bengal",,,,,,
Junior Python Backend Developer,Finpoint,"Bengaluru, Karnataka",,,,,,
Python Developer,Notchup (formerly codemonk.ai),Remote,,,,,,
Python Developer Intern,Stokhos Research Capital LLP,"Noida, Uttar Pradesh",,,,,,
Python Developer Intern,Surepass Technologies,"Pitampura, Delhi, Delhi",,,,,,
Python Developer,Rimik Technologies,"Bharatpur, Rajasthan",Full-time,,,,,
Python Developer,Maastrix Solutions Pvt Ltd.,"Acharya Vihar, Bhubaneswar, Orissa","₹15,000 - ₹35,000 a month",15000.0,35000.0,month,25000.0,300000.0
Python Developer,Technology Next,Remote,,,,,,
Python Engineer,ScaleReal Technologies,Remote,Full-time,,,,,
Python & oops Developer,Wipro Limited,"Bengaluru, Karnataka",Full-time,,,,,
Python Developer,vInnovate Technologies,Remote,,,,,,
Junior Python Developer,Bombay Softwares,"Bodakdev, Ahmedabad, Gujarat",,,,,,
Python Developer,ZecData Technology,"Niranjanpur, Indore, Madhya Pradesh",,,,,,
Full Stack Python Developer,Veloris Pharmaceuticals Pvt. Ltd.,Remote,,,,,,
Python Developer Intern,Rivan Solutions,"Remote in Hyderabad, Telangana",,,,,,
Python Developer Intern,DIGI-LATERAL SOLUTIONS,"Malad, Mumbai, Maharashtra",,,,,,
python developer,Kiran Foreign Trade Pvt. Ltd.,"Mohali, Punjab",,,,,,
Python Developer + TWA,Excellent Opportunity,Remote,,,,,,
Junior Python Developer,Prime Minds Consulting Private Limited,"Hybrid work in Bengaluru, Karnataka",,,,,,
Python Developer Intern,CloudHouse Technologies Pvt.Ltd,"Koratti, Thrissur, Kerala","₹10,000 - ₹15,000 a month",10000.0,15000.0,month,12500.0,150000.0
Urgent Hiring For Python Developer - Mahape- All Sat Sun Off,3 Business,"Navi Mumbai, Maharashtra","₹15,000 - ₹35,000 a month",15000.0,35000.0,month,25000.0,300000.0
Python Developer,Warrior tech solutions,Remote,,,,,,
PYTHON DEVELOPER,Proeffico Solutions,"Remote in Noida, Uttar Pradesh",,,,,,
Junior Python Developer,SpiceSuite,Kerala,,,,,,
Python Developer Intern,FIN Infocom,"Nagole, Hyderabad, Telangana",,,,,,
Junior Python Developer,AGM Global Services LLP,"Calicut, Kerala",,,,,,
Python Developer,HashStudioz Technologies Pvt Ltd,"Noida, Uttar Pradesh","₹2,81,709.02 - ₹13,37,745.47 a year",281709.02,1337745.47,year,809727.245,809727.245
Python Developer,TestRight Nanosystems Private Limited,"Gandhinagar, Gujarat",,,,,,
Python Developer,Primotech,"Mohali, Punjab","₹30,000 - ₹40,000 a month",30000.0,40000.0,month,35000.0,420000.0
Python Developer,LeMeniz Technologies Pvt. Ltd.,"Puducherry, Puducherry",,,,,,
Python Developer (Web Scraping),Sciative - We Price Right,"Vashi, Navi Mumbai, Maharashtra",,,,,,
Python developer-Microservice architecture,Neural IT,"Airoli, Navi Mumbai, Maharashtra","₹50,000 - ₹60,000 a month",50000.0,60000.0,month,55000.0,660000.0
